target,model,test_year,feature,mean_abs_shap,mean_shap,importance_rank
Top10,M2S_symmetric_gain_loss,2023,driver_points_mean_last3,0.13665958739122502,-0.02099051251215312,4.0
Top10,M2S_symmetric_gain_loss,2023,team_points_mean_last3,0.10210896313665263,-0.01116130572278902,6.0
Top10,M2S_symmetric_gain_loss,2023,driver_incident_rate_last10,0.009733723984022067,0.006468519699086981,10.0
Top10,M2S_symmetric_gain_loss,2023,driver_previous_starts,0.11902514590254916,0.03798256535233251,5.0
Top10,M2S_symmetric_gain_loss,2023,exposure_history_count,0.007892723802361494,-0.0011339609773915109,11.0
Top10,M2S_symmetric_gain_loss,2023,DriverId,0.19337290291470108,0.04866023283340506,3.0
Top10,M2S_symmetric_gain_loss,2023,TeamId,0.40006635823528974,-0.0012342200678584618,2.0
Top10,M2S_symmetric_gain_loss,2023,location,0.04015637385635406,-0.023748001956754337,8.0
Top10,M2S_symmetric_gain_loss,2023,season,0.039705248661242545,0.012267580251708753,9.0
Top10,M2S_symmetric_gain_loss,2023,net_recent_deviation,0.04637723539049842,-0.0013968804424646121,7.0
Top10,M2A_asymmetric_gain_loss,2023,qualifying_position,0.6876740342831053,0.003113878688988867,1.0
Top10,M2A_asymmetric_gain_loss,2023,driver_points_mean_last3,0.11734423424691044,0.006575495492151173,5.0
Top10,M2A_asymmetric_gain_loss,2023,team_points_mean_last3,0.14400294418512147,-0.02923578120323391,4.0
Top10,M2A_asymmetric_gain_loss,2023,driver_incident_rate_last10,0.007343251506132772,0.005417925180907559,11.0
Top10,M2A_asymmetric_gain_loss,2023,driver_previous_starts,0.09669175437134413,0.041790740829871255,6.0
Top10,M2A_asymmetric_gain_loss,2023,exposure_history_count,0.004327341071959036,0.00011404819478779054,12.0
Top10,M2A_asymmetric_gain_loss,2023,DriverId,0.18722963393530798,0.029235939443623824,3.0
Top10,M2A_asymmetric_gain_loss,2023,TeamId,0.41813274128399996,-0.01944576020114055,2.0
Top10,M2A_asymmetric_gain_loss,2023,location,0.027000244331433224,-0.007523935215351422,10.0
Top10,M2A_asymmetric_gain_loss,2023,season,0.06117871679040137,0.05674254615601256,8.0
Top10,M2A_asymmetric_gain_loss,2023,recent_gain_exposure,0.027862487514323225,0.008087095839898575,9.0
Top10,M2A_asymmetric_gain_loss,2023,recent_loss_exposure,0.07203612464912645,-0.03082433634634881,7.0
Top10,M3S_full_symmetric,2023,qualifying_position,0.6996708495206957,0.0157150950148805,1.0
Top10,M3S_full_symmetric,2023,driver_points_mean_last3,0.10182663825900751,0.0027011975129990194,6.0
Top10,M3S_full_symmetric,2023,team_points_mean_last3,0.08594835311796321,-0.00987789426064313,7.0
Top10,M3S_full_symmetric,2023,driver_incident_rate_last10,0.003133886531562321,0.00032433822489394204,12.0
Top10,M3S_full_symmetric,2023,driver_previous_starts,0.10956831429667364,0.05300463479753958,5.0
Top10,M3S_full_symmetric,2023,exposure_history_count,0.006385626588826156,-0.00115578648313451,11.0
Top10,M3S_full_symmetric,2023,DriverId,0.152991851602121,0.02231570326614491,4.0
Top10,M3S_full_symmetric,2023,TeamId,0.5094564436169129,-0.04965125483013287,2.0
Top10,M3S_full_symmetric,2023,location,0.05763063672098422,0.05609543855649001,8.0
Top10,M3S_full_symmetric,2023,season,0.26297797896024566,0.26297797896024566,3.0
Top10,M3S_full_symmetric,2023,qualifying_surprise,0.050119764915317604,0.01580938307549206,10.0
Top10,M3S_full_symmetric,2023,net_recent_deviation,0.05534042435405345,-0.021270693725326886,9.0
Top10,M3A_full_asymmetric,2023,qualifying_position,0.7234052814499525,0.025033181162052654,1.0
Top10,M3A_full_asymmetric,2023,driver_points_mean_last3,0.1333652270415794,-0.008823926777256432,4.0
Top10,M3A_full_asymmetric,2023,team_points_mean_last3,0.09083453576311683,0.011789524932613073,6.0
Top10,M3A_full_asymmetric,2023,driver_incident_rate_last10,0.009323068454203925,0.004871775961045253,13.0
Top10,M3A_full_asymmetric,2023,driver_previous_starts,0.12012467017626853,0.053586788207148586,5.0
Top10,M3A_full_asymmetric,2023,exposure_history_count,0.005403674629980692,0.0018220440322361,14.0
Top10,M3A_full_asymmetric,2023,DriverId,0.1964120852540054,0.012302242413536882,3.0
Top10,M3A_full_asymmetric,2023,TeamId,0.4846631002379021,-0.025187324107819552,2.0
Top10,M3A_full_asymmetric,2023,location,0.027222380862025455,0.009148284412322644,10.0
Top10,M3A_full_asymmetric,2023,season,0.027507702291374624,0.008199358267537362,9.0
Top10,M3A_full_asymmetric,2023,positive_qualifying_surprise,0.03488228335021462,0.010846632964690427,8.0
Top10,M3A_full_asymmetric,2023,negative_qualifying_surprise,0.022073607369607763,0.007308890468282344,11.0
Top10,M3A_full_asymmetric,2023,recent_gain_exposure,0.018925022953669556,-0.0008579059056368473,12.0
Top10,M3A_full_asymmetric,2023,recent_loss_exposure,0.07314249985608111,-0.033309612867032996,7.0
