target,model,feature,mean_abs_shap,mean_shap,n,importance_share,importance_rank
Top10,M0_baseline,exposure_history_count,0.00825977836713047,6.21511492136711e-05,1022,0.004215355621984008,9.0
Top10,M0_baseline,driver_incident_rate_last10,0.00797154085757152,0.005444552735721932,1022,0.004068254386045143,10.0
Top10,M1A_asymmetric_qualifying,qualifying_position,0.7266261492275381,0.03772792582104664,1022,0.37740161755746465,1.0
Top10,M1A_asymmetric_qualifying,TeamId,0.41219683872614193,0.006404871158166418,1022,0.21409049736607483,2.0
Top10,M1A_asymmetric_qualifying,DriverId,0.20492274133151267,0.02587326980905647,1022,0.10643461446445257,3.0
Top10,M1A_asymmetric_qualifying,driver_points_mean_last3,0.16526357926784363,-0.03162948572948403,1022,0.0858360825650516,4.0
Top10,M1A_asymmetric_qualifying,team_points_mean_last3,0.16373373147465797,-0.004079762582573301,1022,0.08504149647373246,5.0
Top10,M1A_asymmetric_qualifying,driver_previous_starts,0.10702362508821987,0.03584845004859214,1022,0.05558689192247841,6.0
Top10,M1A_asymmetric_qualifying,season,0.07502344682348679,0.055420433916144575,1022,0.0389663518385904,7.0
Top10,M1A_asymmetric_qualifying,location,0.03072717856783899,0.013545299674221824,1022,0.015959358064401467,8.0
Top10,M1A_asymmetric_qualifying,positive_qualifying_surprise,0.014838321459958117,0.002174509586427193,1022,0.007706860710668189,9.0
Top10,M1A_asymmetric_qualifying,negative_qualifying_surprise,0.014257144780479764,-0.0020792516750450583,1022,0.007405003945459588,10.0
Top10,M1A_asymmetric_qualifying,exposure_history_count,0.007102776817835022,-0.00040481843722252743,1022,0.003689104036580972,11.0
Top10,M1A_asymmetric_qualifying,driver_incident_rate_last10,0.0036237215501576047,0.0028762083327907527,1022,0.0018821210550448674,12.0
Top10,M1S_symmetric_qualifying,qualifying_position,0.7385084698757781,0.00484361058322296,1022,0.3720348631257318,1.0
Top10,M1S_symmetric_qualifying,TeamId,0.4392332793990196,0.02870545238248185,1022,0.22127043852180492,2.0
Top10,M1S_symmetric_qualifying,DriverId,0.1917471565358382,0.0387409258989109,1022,0.09659554364834587,3.0
Top10,M1S_symmetric_qualifying,driver_points_mean_last3,0.16797077814760591,-0.013148348561115858,1022,0.08461783175997781,4.0
Top10,M1S_symmetric_qualifying,team_points_mean_last3,0.1567077874446713,-0.002181232680164086,1022,0.07894392905543943,5.0
Top10,M1S_symmetric_qualifying,season,0.103574583229318,0.06382559879568644,1022,0.052177270088054103,6.0
Top10,M1S_symmetric_qualifying,driver_previous_starts,0.10015911090708877,0.0266222787301135,1022,0.050456674008602216,7.0
Top10,M1S_symmetric_qualifying,location,0.039601364399687713,0.021292787759047777,1022,0.01994978904779284,8.0
Top10,M1S_symmetric_qualifying,qualifying_surprise,0.03289563812695776,0.004891001741578564,1022,0.016571677546304786,9.0
Top10,M1S_symmetric_qualifying,exposure_history_count,0.007615324447202052,0.0016782353418923382,1022,0.003836335402963505,10.0
Top10,M1S_symmetric_qualifying,driver_incident_rate_last10,0.007038294491519611,0.0018680622015693617,1022,0.0035456477949826867,11.0
Top10,M2A_asymmetric_gain_loss,qualifying_position,0.7374715389840167,0.02823109639869627,1022,0.3710113536486,1.0
Top10,M2A_asymmetric_gain_loss,TeamId,0.4316089023782788,0.016328774525410598,1022,0.2171362481849245,2.0
Top10,M2A_asymmetric_gain_loss,DriverId,0.24866941209273438,0.0368499879413476,1022,0.12510201453825387,3.0
Top10,M2A_asymmetric_gain_loss,team_points_mean_last3,0.14989794185491565,-0.01574281011441773,1022,0.07541150454883752,4.0
Top10,M2A_asymmetric_gain_loss,driver_points_mean_last3,0.1362923220020968,-0.007916037782124007,1022,0.06856671234739639,5.0
Top10,M2A_asymmetric_gain_loss,driver_previous_starts,0.07906447258553902,0.023108955168786208,1022,0.03977620212962443,6.0
Top10,M2A_asymmetric_gain_loss,season,0.07718247004075425,0.07528953866534219,1022,0.03882939364305877,7.0
Top10,M2A_asymmetric_gain_loss,location,0.0465931976464838,0.02804440354078697,1022,0.023440369445922943,8.0
